"Reference_name"	"Reference_bnumber"	"Reference_symbol"	"RegulonDB_tf_id"	"RegulonDB_tf_name"	"RegulonDB_tf_symmetry"	"RegulonDB_tf_family"	"RegulonDB_tf_class"	"RegulonDB_tf_conformation_id"	"RegulonDB_tf_conformation_final_state"	"RegulonDB_tf_conformation_type"	"RegulonDB_tf_interaction_type"	"RegulonDB_tf_apo_holo"	"Uniprot_ID"	"Pfam_ID"	"Refseq_ID"	"product_synonyms.x"	"RegulonDB_product_name"	"Ecocyc_id"	"gene_synonyms"	"product_synonyms.y"	"RegulonDB_TF"	"Zika_TF"	"Annotated_TF"	"Predicted_TF_2015"	"Predicted_TF_2020"	"Predicted_TF_2021"	"product_synonyms"	"TF_synonyms"
"AlaS"	"b2697"	"alaS"	"ECK120030264"	"AlaS"	"inverted-repeat"	"Class II aminoacyl_tRNA synthetase"	"Local Regulator"	"ECK125147163,ECK125269388"	"AlaS,AlaS-L-alanine"	"Active,Inactive"	"Allosteric"	"Apo,Holo"	"P00957"	"PF01411,PF02272,PF07973"	"NP_417177"	"Act,ala-act,AlaS,b2697,ECK120004507,LovB"	"alanine&mdash;tRNA ligase/DNA-binding transcriptional repressor"	"EG10034"	"act,ala-act,alaS,b2697,ECK120000031,ECK2692,EG10034,lovB"	"Act,ala-act,AlaS,b2697,ECK120004507,LovB"	1	1	1	1	1	0	NA	"act,ala-act,alanine&mdash;tRNA ligase/DNA-binding transcriptional repressor,alaS,AlaS,AlaS-L-alanine,b2697,ECK120000031,ECK2692,EG10034,lovB,NP_417177,P00957"
"AllR"	"b0506"	"allR"	"ECK120015630"	"AllR"	"inverted-repeat"	"IclR"	"Local Regulator"	"ECK125158291,ECK125269384,ECK125272675"	"AllR,AllR-allantoin,AllR-glyoxylate"	"Active,Inactive"	"Allosteric"	"Apo,Holo"	"P0ACN4"	"PF01614,PF09339"	"NP_415039"	"AllR,b0506,ECK120007354,YbbU"	"DNA-binding transcriptional repressor AllR"	"G6276"	"allR,b0506,ECK0499,ECK120002884,G6276,glxA3,ybbU"	"AllR,b0506,ECK120007354,YbbU"	1	1	1	1	1	1	NA	"allR,AllR,AllR-allantoin,AllR-glyoxylate,b0506,DNA-binding transcriptional repressor AllR,ECK0499,ECK120002884,G6276,glxA3,NP_415039,P0ACN4,ybbU"
"AllS"	"b0504"	"allS"	"ECK120015636"	"AllS"	""	"LysR"	"Local Regulator"	"ECK125147164,ECK125269443"	"AllS,AllS-allantoin"	"Active,Inactive"	"Allosteric"	"Apo,Holo"	"P0ACR0"	"PF00126,PF03466"	"NP_415037"	"AllS,b0504,ECK120007352,GlxA1,YbbS"	"DNA-binding transcriptional activator AllS"	"G6274"	"allS,b0504,ECK0497,ECK120002882,G6274,glxA1,ybbS"	"AllS,b0504,ECK120007352,GlxA1,YbbS"	1	1	1	1	1	1	NA	"allS,AllS,AllS-allantoin,b0504,DNA-binding transcriptional activator AllS,ECK0497,ECK120002882,G6274,glxA1,NP_415037,P0ACR0,ybbS"
"AlpA"	"b2624"	"alpA"	"ECK120012984"	"AlpA"	"inverted-repeat"	"AlpA"	"Local Regulator"	"ECK125269383"	"AlpA"	"Active"	""	""	"P33997"	"PF05930"	"NP_417113"	"AlpA,b2624,ECK120006492"	"CP4-57 prophage; DNA-binding transcriptional activator AlpA"	"EG12112"	"alpA,b2624,ECK120002016,ECK2620,EG12112"	"AlpA,b2624,ECK120006492"	1	1	1	1	1	1	NA	"alpA,AlpA,b2624,CP4-57 prophage; DNA-binding transcriptional activator AlpA,ECK120002016,ECK2620,EG12112,NP_417113,P33997"
"AlsR"	"b4089"	"alsR"	"ECK120011959"	"AlsR"	"inverted-repeat"	"RpiR"	"Local Regulator"	"ECK125269316,ECK125272647"	"AlsR,AlsR-D-allose"	"Active,Inactive"	"Allosteric"	"Apo,Holo"	"P0ACS7"	"PF01380,PF01418"	"NP_418513"	"AlsR,b4089,ECK120008758,RpiR,YjcY"	"DNA-binding transcriptional repressor AlsR"	"G7821"	"alsR,b4089,ECK120004319,ECK4082,G7821,rpiR,yjcY"	"AlsR,b4089,ECK120008758,RpiR,YjcY"	1	1	1	1	0	1	NA	"alsR,AlsR,AlsR-D-allose,b4089,DNA-binding transcriptional repressor AlsR,ECK120004319,ECK4082,G7821,NP_418513,P0ACS7,rpiR,yjcY"
"AppY"	"b0564"	"appY"	"ECK120012987"	"AppY"	"inverted-repeat"	"AraC/XylS"	"Local Regulator"	"ECK125269353"	"AppY"	"Active"	""	""	"P05052"	"PF12833"	"NP_415096"	"AppY,b0564,ECK120004522"	"DLP12 prophage; DNA-binding transcriptional activator AppY"	"EG10050"	"appY,b0564,ECK0556,ECK120000046,EG10050"	"AppY,b0564,ECK120004522"	1	1	1	1	1	1	NA	"appY,AppY,b0564,DLP12 prophage; DNA-binding transcriptional activator AppY,ECK0556,ECK120000046,EG10050,NP_415096,P05052"
"AraC"	"b0064"	"araC"	"ECK120012316"	"AraC"	"inverted-repeat"	"AraC/XylS"	"Local Regulator"	"ECK125147167,ECK125269282,ECK125269395"	"AraC,AraC-&alpha;-L-arabinopyranose,AraC-D-fucose"	"Active,Inactive"	"Allosteric"	"Apo,Holo"	"P0A9E0"	"PF02311,PF12833"	"NP_414606"	"AraC,b0064,ECK120004526"	"DNA-binding transcriptional dual regulator AraC"	"EG10054"	"araC,b0064,ECK0065,ECK120000050,EG10054"	"AraC,b0064,ECK120004526"	1	1	1	1	1	1	NA	"araC,AraC,AraC-&alpha;-L-arabinopyranose,AraC-D-fucose,b0064,DNA-binding transcriptional dual regulator AraC,ECK0065,ECK120000050,EG10054,NP_414606,P0A9E0"
"ArcA"	"b4401"	"arcA"	"ECK120011345"	"ArcA"	""	"OmpR"	"Global Regulator"	"ECK125147168,ECK125269269"	"ArcA,ArcA-phosphorylated"	"Active,Inactive"	"Covalent"	"Apo,Holo"	"P0A9Q1"	"PF00072,PF00486"	"NP_418818"	"ArcA,ArcA response regulator,b4401,CpxC,Dye,dye resistance protein,ECK120004533,FexA,Msp,Seg,SfrA"	"DNA-binding transcriptional dual regulator ArcA"	"EG10061"	"arcA,b4401,cpxC,dye,ECK120000057,ECK4393,EG10061,fexA,msp,seg,sfrA"	"ArcA,ArcA response regulator,b4401,CpxC,Dye,dye resistance protein,ECK120004533,FexA,Msp,Seg,SfrA"	1	1	1	1	1	1	NA	"arcA,ArcA,ArcA-phosphorylated,b4401,cpxC,DNA-binding transcriptional dual regulator ArcA,dye,ECK120000057,ECK4393,EG10061,fexA,msp,NP_418818,P0A9Q1,seg,sfrA"
"ArgP"	"b2916"	"argP"	"ECK120011202"	"ArgP"	""	"LysR"	"Local Regulator"	"ECK125269295,ECK125269337,ECK125272676"	"ArgP,ArgP-L-arginine,ArgP-L-lysine"	"Active,Inactive"	"Allosteric"	"Apo,Holo"	"P0A8S1"	"PF00126,PF03466"	"NP_417391"	"ArgP,b2916,ECK120004959,IciA"	"DNA-binding transcriptional dual regulator ArgP"	"EG10490"	"argP,b2916,ECK120000483,ECK2912,EG10490,iciA"	"ArgP,b2916,ECK120004959,IciA"	1	1	1	1	1	1	NA	"argP,ArgP,ArgP-L-arginine,ArgP-L-lysine,b2916,DNA-binding transcriptional dual regulator ArgP,ECK120000483,ECK2912,EG10490,iciA,NP_417391,P0A8S1"
"ArgR"	"b3237"	"argR"	"ECK120011670"	"ArgR"	""	"ArgR"	"Local Regulator"	"ECK125269268,ECK125300417"	"ArgR,ArgR-L-arginine"	"Active,Inactive"	"Allosteric"	"Apo,Holo"	"P0A6D0"	"PF01316,PF02863"	"NP_417704"	"ArgR,b3237,ECK120004542,XerA"	"DNA-binding transcriptional dual regulator ArgR"	"EG10070"	"argR,b3237,ECK120000066,ECK3226,EG10070,Rarg,xerA"	"ArgR,b3237,ECK120004542,XerA"	1	1	1	1	1	1	NA	"argR,ArgR,ArgR-L-arginine,b3237,DNA-binding transcriptional dual regulator ArgR,ECK120000066,ECK3226,EG10070,NP_417704,P0A6D0,Rarg,xerA"
"ariR"	"b1166"	"ariR"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"putative two-component system connector protein AriR"	"G6606"	"ariR,b1166,ECK1153,ECK120003201,G6606,ymgB"	NA	0	1	0	0	1	0	" influenced by indole,AriR,b1166,ECK120007660,regulator of acid resistance,YmgB"	" influenced by indole,ariR,AriR,b1166,ECK1153,ECK120003201,ECK120007660,G6606,putative two-component system connector protein AriR,regulator of acid resistance,ymgB,YmgB"
"ArsR"	"b3501"	"arsR"	"ECK120030724"	"ArsR"	""	"ArsR"	"Local Regulator"	"ECK125269462,ECK125272671,ECK125272672"	"ArsR,ArsR-antimonite,ArsR-arsenite"	"Active,Inactive"	"Allosteric"	"Apo,Holo"	"P37309"	"PF01022"	"NP_417958"	"ArsE,ArsR,b3501,ECK120006595"	"DNA-binding transcriptional repressor ArsR"	"EG12235"	"arsE,arsR,b3501,ECK120002119,ECK3486,EG12235"	"ArsE,ArsR,b3501,ECK120006595"	1	1	1	1	1	1	NA	"arsE,arsR,ArsR,ArsR-antimonite,ArsR-arsenite,b3501,DNA-binding transcriptional repressor ArsR,ECK120002119,ECK3486,EG12235,NP_417958,P37309"
"AscG"	"b2714"	"ascG"	"ECK120026318"	"AscG"	"asymmetric, inverted-repeat"	"GalR/LacI"	"Local Regulator"	"ECK125269373"	"AscG"	"Active"	""	""	"P24242"	"PF00356,PF13377"	"NP_417194"	"AscG,b2714,ECK120004559,Sac"	"DNA-binding transcriptional repressor AscG"	"EG10087"	"ascG,b2714,ECK120000083,ECK2709,EG10087,sac"	"AscG,b2714,ECK120004559,Sac"	1	1	1	1	1	1	NA	"ascG,AscG,b2714,DNA-binding transcriptional repressor AscG,ECK120000083,ECK2709,EG10087,NP_417194,P24242,sac"
"AsnC"	"b3743"	"asnC"	"ECK120013010"	"AsnC"	"inverted-repeat"	"AsnC"	"Local Regulator"	"ECK125269259,ECK125272657"	"AsnC,AsnC-L-asparagine"	"Active,Inactive"	"Allosteric"	"Apo,Holo"	"P0ACI6"	"PF01037,PF13412"	"NP_418199"	"AsnC,b3743,ECK120004565"	"DNA-binding transcriptional dual regulator AsnC"	"EG10093"	"asnC,b3743,ECK120000089,ECK3737,EG10093"	"AsnC,b3743,ECK120004565"	1	1	1	1	1	1	NA	"asnC,AsnC,AsnC-L-asparagine,b3743,DNA-binding transcriptional dual regulator AsnC,ECK120000089,ECK3737,EG10093,NP_418199,P0ACI6"
"AtoC"	"b2220"	"atoC"	"ECK120013014"	"AtoC"	""	"EBP"	"Local Regulator"	"ECK125147173,ECK125269408"	"AtoC,AtoC-phosphorylated"	"Active,Inactive"	"Covalent"	"Apo,Holo"	"Q06065"	"PF00072,PF00158,PF02954"	"NP_416724"	"AtoC,AtoC response regulator,AtoC transcriptional activator; Az protein inhibitor of ODC,b2220,ECK120006087"	"DNA-binding transcriptional activator/ornithine decarboxylase inhibitor AtoC"	"EG11668"	"atoC,b2220,ECK120001611,ECK2213,EG11668"	"AtoC,AtoC response regulator,AtoC transcriptional activator; Az protein inhibitor of ODC,b2220,ECK120006087"	1	1	1	1	1	1	NA	"atoC,AtoC,AtoC-phosphorylated,b2220,DNA-binding transcriptional activator/ornithine decarboxylase inhibitor AtoC,ECK120001611,ECK2213,EG11668,NP_416724,Q06065"
"BaeR"	"b2079"	"baeR"	"ECK120015687"	"BaeR"	"inverted-repeat"	"OmpR"	"Local Regulator"	"ECK125269411,ECK12T299418"	"BaeR,BaeR-phosphorylated"	"Active,Inactive"	"Covalent"	"Apo,Holo"	"P69228"	"PF00072,PF00486"	"NP_416583"	"b2079,BaeR,BaeR response regulator,ECK120006042"	"DNA-binding transcriptional activator BaeR"	"EG11618"	"b2079,baeR,ECK120001566,ECK2075,EG11618"	"b2079,BaeR,BaeR response regulator,ECK120006042"	1	1	1	1	1	1	NA	"b2079,baeR,BaeR,BaeR-phosphorylated,DNA-binding transcriptional activator BaeR,ECK120001566,ECK2075,EG11618,NP_416583,P69228"
"BasR"	"b4113"	"basR"	"ECK125145855"	"BasR"	"inverted-repeat"	"OmpR"	"Local Regulator"	"ECK125269274,ECK12T299419"	"BasR,BasR-phosphorylated"	"Active,Inactive"	""	"Apo,Holo"	"P30843"	"PF00072,PF00486"	"NP_418537"	"b4113,BasR,BasR response regulator,ECK120006039,PmrA"	"DNA-binding transcriptional dual regulator BasR"	"EG11615"	"b4113,basR,ECK120001563,ECK4106,EG11615,pmrA"	"b4113,BasR,BasR response regulator,ECK120006039,PmrA"	1	1	1	1	1	1	NA	"b4113,basR,BasR,BasR-phosphorylated,DNA-binding transcriptional dual regulator BasR,ECK120001563,ECK4106,EG11615,NP_418537,P30843,pmrA"
"bdcR"	"b4251"	"bdcR"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"putative transcriptional regulator BdcR"	"G7882"	"b4251,bdcR,ECK120004377,ECK4244,G7882,yjgJ"	NA	0	1	1	1	1	1	"b4251,BdcR,ECK120008816,YjgJ"	"b4251,bdcR,BdcR,ECK120004377,ECK120008816,ECK4244,G7882,putative transcriptional regulator BdcR,yjgJ,YjgJ"
"BetI"	"b0313"	"betI"	"ECK120013017"	"BetI"	"inverted-repeat"	"TetR/AcrR"	"Local Regulator"	"ECK125269341,ECK125272646"	"BetI,BetI-choline"	"Active,Inactive"	"Allosteric"	"Apo,Holo"	"P17446"	"PF00440,PF13977"	"NP_414847"	"b0313,BetI,ECK120004583"	"DNA-binding transcriptional repressor BetI"	"EG10111"	"b0313,betI,ECK0311,ECK120000107,EG10111"	"b0313,BetI,ECK120004583"	1	1	1	1	1	1	NA	"b0313,betI,BetI,BetI-choline,DNA-binding transcriptional repressor BetI,ECK0311,ECK120000107,EG10111,NP_414847,P17446"
"BirA"	"b3973"	"birA"	"ECK120012646"	"BirA"	""	"BirA"	"Local Regulator"	"ECK125147174,ECK125269285"	"BirA,BirA-biotinyl-5'-adenylate"	"Active,Inactive"	"Allosteric"	"Apo,Holo"	"P06709"	"PF02237,PF03099,PF08279"	"NP_418404"	"b3973,BioR,biotin-[acetylCoA carboxylase] holoenzyme synthetase and biotin operon repressor,BirA,DhbB,ECK120004595"	"DNA-binding transcriptional repressor/biotin-[acetyl-CoA-carboxylase] ligase BirA"	"EG10123"	"b3973,bioR,birA,dhbB,ECK120000119,ECK3965,EG10123"	"b3973,BioR,biotin-[acetylCoA carboxylase] holoenzyme synthetase and biotin operon repressor,BirA,DhbB,ECK120004595"	1	1	1	1	1	1	NA	"b3973,bioR,birA,BirA,BirA-biotinyl-5'-adenylate,dhbB,DNA-binding transcriptional repressor/biotin-[acetyl-CoA-carboxylase] ligase BirA,ECK120000119,ECK3965,EG10123,NP_418404,P06709"
"BluR"	"b1162"	"bluR"	"ECK120051438"	"BluR"	"inverted-repeat"	"MerR"	"Local Regulator"	"ECK125269448"	"BluR"	"Active"	""	""	"P75989"	"PF13411"	"NP_415680"	"b1162,BluR,ECK120007656,YcgE"	"DNA-binding transcriptional repressor BluR"	"G6602"	"b1162,bluR,ECK1149,ECK120003197,G6602,ycgE"	"b1162,BluR,ECK120007656,YcgE"	1	1	1	1	1	1	NA	"b1162,bluR,BluR,DNA-binding transcriptional repressor BluR,ECK1149,ECK120003197,G6602,NP_415680,P75989,ycgE"
"BolA"	"b0435"	"bolA"	"ECK120029348"	"BolA"	"inverted-repeat"	"BolA"	"Local Regulator"	"ECK125300416"	"BolA-phosphorylated"	"Active"	""	""	"P0ABE2"	"PF01722"	"NP_414969"	"b0435,BolA,ECK120004597"	"DNA-binding transcriptional dual regulator BolA"	"EG10125"	"b0435,bolA,ECK0429,ECK120000121,EG10125"	"b0435,BolA,ECK120004597"	1	1	1	1	1	1	NA	"b0435,bolA,BolA,BolA-phosphorylated,DNA-binding transcriptional dual regulator BolA,ECK0429,ECK120000121,EG10125,NP_414969,P0ABE2"
"BtsR"	"b2125"	"btsR"	"ECK125145850"	"BtsR"	""	"LytTR"	"Local Regulator"	"ECK125269464,ECK12T299420"	"BtsR,BtsR-Phosphorylated"	"Active,Inactive"	""	"Apo,Holo"	"P0AFT5"	"PF00072,PF04397"	"NP_416629"	"b2125,BtsR,ECK120006401,YehT"	"DNA-binding transcriptional dual regulator BtsR"	"EG12006"	"b2125,btsR,ECK120001925,ECK2117,EG12006,yehT"	"b2125,BtsR,ECK120006401,YehT"	1	1	1	1	1	1	NA	"b2125,btsR,BtsR,BtsR-Phosphorylated,DNA-binding transcriptional dual regulator BtsR,ECK120001925,ECK2117,EG12006,NP_416629,P0AFT5,yehT"
"CadC"	"b4133"	"cadC"	"ECK120011250"	"CadC"	"inverted-repeat"	"OmpR"	"Local Regulator"	"ECK125269447"	"CadC"	"Active"	""	""	"P23890"	"PF00486,PF18500"	"NP_418557"	"b4133,CadC,ECK120004605"	"DNA-binding transcriptional activator CadC"	"EG10133"	"b4133,cadC,ECK120000129,ECK4127,EG10133"	"b4133,CadC,ECK120004605"	1	1	1	1	1	0	NA	"b4133,cadC,CadC,DNA-binding transcriptional activator CadC,ECK120000129,ECK4127,EG10133,NP_418557,P23890"
"CaiF"	"b0034"	"caiF"	"ECK120013805"	"CaiF"	""	"CaiF"	"Local Regulator"	"ECK125269400,ECK12T299421"	"CaiF,CaiF-L-carnitine"	"Active,Inactive"	""	"Apo,Holo"	"P0AE58"	"PF07180"	"NP_414576"	"b0034,CaiF,ECK120007182"	"DNA-binding transcriptional activator CaiF"	"G6088"	"b0034,caiF,ECK0035,ECK120002708,G6088"	"b0034,CaiF,ECK120007182"	1	1	1	1	1	1	NA	"b0034,caiF,CaiF,CaiF-L-carnitine,DNA-binding transcriptional activator CaiF,ECK0035,ECK120002708,G6088,NP_414576,P0AE58"
"Cbl"	"b1987"	"cbl"	"ECK120013750"	"Cbl"	"inverted-repeat"	"LysR"	"Local Regulator"	"ECK125147175,ECK125269385,ECK125272645"	"Cbl,Cbl-adenosine 5'-phosphosulfate,Cbl-Thiosulphate"	"Active,Inactive"	"Allosteric"	"Apo,Holo"	"Q47083"	"PF00126,PF03466"	"NP_416492"	"b1987,Cbl,ECK120008110"	"DNA-binding transcriptional activator Cbl"	"G7071"	"b1987,cbl,ECK120003657,ECK1982,G7071"	"b1987,Cbl,ECK120008110"	1	1	1	1	1	1	NA	"b1987,cbl,Cbl,Cbl-adenosine 5'-phosphosulfate,Cbl-Thiosulphate,DNA-binding transcriptional activator Cbl,ECK120003657,ECK1982,G7071,NP_416492,Q47083"
"CdaR"	"b0162"	"cdaR"	"ECK120011953"	"CdaR"	"inverted-repeat"	"Cdar"	"Local Regulator"	"ECK125269363"	"CdaR"	"Active"	""	""	"P37047"	"PF05651,PF13556,PF17853"	"NP_414704"	"b0162,CdaR,ECK120006685,SdaR,YaeG"	"DNA-binding transcriptional activator CdaR"	"EG12335"	"b0162,cdaR,ECK0161,ECK120002210,EG12335,sdaR,yaeG"	"b0162,CdaR,ECK120006685,SdaR,YaeG"	1	1	1	1	1	1	NA	"b0162,cdaR,CdaR,DNA-binding transcriptional activator CdaR,ECK0161,ECK120002210,EG12335,NP_414704,P37047,sdaR,yaeG"
"CecR"	"b0796"	"cecR"	"ECK125230705"	"CecR"	"inverted-repeat"	"TetR/AcrR"	"Local Regulator"	"ECK125269415"	"CecR"	"Active"	""	""	"P0ACU0"	"PF00440,PF09209"	"NP_415317"	"b0796,CecR,ECK120006743,YbiH"	"DNA-binding transcriptional dual regulator CecR"	"EG12406"	"b0796,cecR,ECK0785,ECK120002268,EG12406,ybiH"	"b0796,CecR,ECK120006743,YbiH"	1	1	1	1	0	1	NA	"b0796,cecR,CecR,DNA-binding transcriptional dual regulator CecR,ECK0785,ECK120002268,EG12406,NP_415317,P0ACU0,ybiH"
"ChbR"	"b1735"	"chbR"	"ECK120012036"	"ChbR"	"asymmetric"	"AraC/XylS"	"Local Regulator"	"ECK125269431,ECK125303663"	"ChbR,ChbR-6-phospho-&beta;-D-glucosaminyl-(1->4)-<i>N</i>-acetyl-D-glucosamine"	"Active"	"Allosteric"	"Apo,Holo"	"P17410"	"PF07883,PF12833"	"NP_416249"	"b1735,CelD,ChbR,ECK120004615"	"ChbR"	"EG10143"	"b1735,celD,chbR,ECK120000139,ECK1733,EG10143"	"b1735,CelD,ChbR,ECK120004615"	1	1	1	1	1	1	NA	"b1735,celD,chbR,ChbR,ChbR-6-phospho-&beta;-D-glucosaminyl-(1->4)-<i>N</i>-acetyl-D-glucosamine,ECK120000139,ECK1733,EG10143,NP_416249,P17410"
"chpS"	"b4224"	"chpS"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ChpS antitoxin of the ChpB-ChpS toxin-antitoxin system"	"EG11250"	"b4224,chpBI,chpS,ECK120001225,ECK4220,EG11250,yjfB"	NA	0	0	0	1	0	0	"b4224,ChpBI,ChpS,ECK120005701,YjfB"	"b4224,chpBI,ChpBI,chpS,ChpS,ChpS antitoxin of the ChpB-ChpS toxin-antitoxin system,ECK120001225,ECK120005701,ECK4220,EG11250,yjfB,YjfB"
